Source Course	Target Course	Cosine Similarity
SI 686	SI 687	0.789352217376
SI 686	SI 679	0.553398590529
SI 687	SI 686	0.789352217376
SI 687	SI 679	0.693375245282
SI 688	SI 682	0.720961924277
SI 688	SI 622	0.701621498582
SI 689	SI 682	0.632851187707
SI 689	SI 688	0.628415874981
SI 690	SI 647	0.394518332904
SI 690	SI 539	0.380873664358
SI 692	SI 580	0.762442575752
SI 692	SI 629	0.703731550549
SI 696	SI 596	0.403603676398
SI 696	SI 643	0.300501253482
SI 701	SI 840	0.559016994375
SI 701	STATS 500	0.5
SI 702	SI 840	0.298807152334
SI 702	SI 689	0.27565892321
SI 708	STRATEGY 673	0.471404520791
SI 708	BIOINF 551	0.408248290464
SI 791	SI 792	0.321839342933
SI 791	AMCULT 993	0.29488391231
SI 792	SI 593	0.363803437554
SI 792	SI 791	0.321839342933
SI 840	SI 701	0.559016994375
SI 840	STATS 500	0.4472135955
