Source Course	Target Course	Cosine Similarity
SI 508	ARCH 531	0.269679944985
SI 508	SI 688	0.233549683248
SI 508	BIT 648	0.22360679775
SI 508	PUBPOL 529	0.22360679775
SI 508	SI 550	0.22360679775
SI 508	MKT 619	0.22360679775
SI 508	SI 510	0.22360679775
SI 508	COMM 781	0.22360679775
SI 508	SI 618	0.22360679775
SI 508	SI 622	0.221359436212
SI 508	SI 533	0.217642875033
SI 508	BIT 646	0.2
SI 508	SI 686	0.2
SI 508	SI 681	0.198150961847
SI 508	SI 683	0.190692517849
SI 508	SI 601	0.18973665961
SI 508	OMS 501	0.182574185835
SI 508	BE 501	0.182574185835
SI 508	MKT 620	0.182574185835
SI 508	SI 687	0.175411603861
SI 508	SI 646	0.173205080757
SI 508	SI 575	0.159363814578
SI 508	PUBPOL 585	0.158113883008
SI 508	SI 679	0.158113883008
SI 508	SI 562	0.158113883008
SI 508	SI 625	0.155962573473
SI 508	SI 684	0.153392997769
SI 508	SI 532	0.1490711985
SI 508	SI 583	0.1490711985
SI 508	SI 505	0.145095250022
SI 508	SI 543	0.143019388387
SI 508	BIT 551	0.141421356237
SI 508	COMM 810	0.141421356237
SI 508	SI 791	0.131876094679
SI 508	DESCI 502	0.129099444874
SI 508	SI 539	0.11313708499
SI 508	COMM 993	0.111803398875
SI 508	ELI 320	0.111803398875
SI 508	SI 507	0.111803398875
SI 508	SI 840	0.1
SI 508	SI 690	0.0948304052264
SI 508	SI 627	0.0912870929175
SI 508	SI 519	0.0868744485526
SI 508	SI 572	0.0790569415042
SI 508	SI 658	0.0784464540553
SI 508	SI 652	0.0766964988847
SI 508	SI 663	0.072547625011
SI 508	IOE 536	0.0707106781187
SI 508	SI 557	0.0632455532034
SI 508	SI 702	0.0597614304667
SI 508	SI 551	0.057735026919
SI 508	SI 621	0.0487950036474
SI 508	SI 579	0.0418853908292
SI 508	SI 655	0.0415227399269
SI 508	SI 540	0.0349215147885
SI 511	ACC 315	0.4472135955
SI 511	ACC 312	0.4472135955
SI 511	BIOSTAT 503	0.4472135955
SI 511	ACC 272	0.4472135955
SI 511	BIT 601	0.4472135955
SI 511	ACC 630	0.316227766017
SI 511	ENGLISH 993	0.316227766017
SI 511	SI 562	0.22360679775
SI 511	SI 563	0.2
SI 511	SI 599	0.2
SI 511	MHS 663	0.169030850946
SI 511	SI 665	0.157027176777
SI 511	SI 666	0.143019388387
SI 511	SI 680	0.141421356237
SI 511	SI 681	0.140113888821
SI 511	SI 683	0.134839972493
SI 511	SI 689	0.130465614611
SI 511	BIT 512	0.129099444874
SI 511	SI 580	0.124034734589
SI 511	SI 579	0.118469775552
SI 511	SI 647	0.117669681083
SI 511	SI 676	0.111803398875
SI 511	SI 652	0.108465228909
SI 511	SI 643	0.107676380412
SI 511	IOE 536	0.1
SI 511	SI 540	0.098772959665
SI 511	SI 530	0.0953462589246
SI 511	ARCH 531	0.0953462589246
SI 511	SI 791	0.093250480824
SI 511	SI 520	0.093250480824
SI 511	SI 622	0.0894427191
SI 511	SI 557	0.0894427191
SI 511	SI 626	0.0877058019307
SI 511	SI 654	0.0830454798537
SI 511	SI 551	0.0816496580928
SI 511	SI 690	0.0804662671179
SI 511	SI 539	0.08
SI 511	SI 624	0.07453559925
SI 511	SI 633	0.0707106781187
SI 511	SI 519	0.0614295116834
SI 511	SI 658	0.0554700196225
SI 511	SI 596	0.0542326144547
SI 511	SI 629	0.0506369683542
SI 511	SI 682	0.0485071250073
SI 514	PHIL 605	0.632455532034
SI 514	SI 524	0.4472135955
SI 514	STATS 503	0.316227766017
SI 514	SWC 630	0.316227766017
SI 514	SI 510	0.316227766017
SI 514	SI 760	0.316227766017
SI 514	MO 603	0.258198889747
SI 514	SI 767	0.258198889747
SI 514	SI 719	0.22360679775
SI 514	SI 661	0.22360679775
SI 514	MO 512	0.22360679775
SI 514	SI 505	0.205195670417
SI 514	PUBPOL 754	0.2
SI 514	MO 700	0.169030850946
SI 514	SI 658	0.166410058868
SI 514	SI 551	0.163299316186
SI 514	SI 544	0.163299316186
SI 514	SI 645	0.158113883008
SI 514	SI 614	0.158113883008
SI 514	SI 507	0.158113883008
SI 514	RACKHAM 998	0.141421356237
SI 514	SI 681	0.140113888821
SI 514	SI 543	0.134839972493
SI 514	SI 696	0.124034734589
SI 514	SI 539	0.12
SI 514	SI 575	0.112687233964
SI 514	SI 688	0.110096376513
SI 514	SI 532	0.105409255339
SI 514	SI 533	0.102597835209
SI 514	IOE 536	0.1
SI 514	SI 540	0.098772959665
SI 514	SI 622	0.0894427191
SI 514	SI 557	0.0894427191
SI 514	SI 654	0.0830454798537
SI 514	SI 690	0.0804662671179
SI 514	SI 621	0.0690065559342
SI 514	SI 519	0.0614295116834
SI 514	SI 620	0.0534522483825
SI 514	SI 682	0.0485071250073
SI 514	SI 666	0.0476731294623
SI 514	SI 580	0.0413449115297
SI 514	SI 647	0.0392232270276
SI 515	SI 637	0.478947472071
SI 515	SI 580	0.415112901156
SI 515	SI 632	0.40411192956
SI 515	SI 629	0.386389621521
SI 515	SI 581	0.376555029419
SI 515	SI 692	0.36493797213
SI 515	HISTORY 698	0.3175003175
SI 515	SI 655	0.235833315318
SI 515	SI 633	0.227184733699
SI 515	SI 647	0.220533978634
SI 515	HISTART 754	0.207390338946
SI 515	MSP 601	0.203653269991
SI 515	MSP 602	0.203653269991
SI 515	SI 666	0.191459895267
SI 515	SI 665	0.189190895325
SI 515	SI 690	0.183124173042
SI 515	HISTORY 451	0.179605302027
SI 515	WOMENSTD 551	0.179605302027
SI 515	ENGLISH 590	0.179605302027
SI 515	HISTART 600	0.179605302027
SI 515	HISTART 608	0.179605302027
SI 515	RACKHAM 575	0.179605302027
SI 515	POLSCI 499	0.179605302027
SI 515	GEOG 406	0.179605302027
SI 515	ANTHRCUL 502	0.179605302027
SI 515	ENGLISH 463	0.179605302027
SI 515	ENGLISH 648	0.179605302027
SI 515	ARTDES 713	0.179605302027
SI 515	ARTDES 716	0.179605302027
SI 515	ARTDES 715	0.179605302027
SI 515	ARTDES 652	0.179605302027
SI 515	ARTDES 651	0.179605302027
SI 515	HISTORY 498	0.179605302027
SI 515	SOC 530	0.179605302027
SI 515	ARTDES 751	0.179605302027
SI 515	ARTDES 616	0.179605302027
SI 515	ARTDES 615	0.179605302027
SI 515	EDUC 580	0.179605302027
SI 515	HISTORY 591	0.179605302027
SI 515	PUBPOL 675	0.179605302027
SI 515	AMCULT 498	0.179605302027
SI 515	HISTORY 786	0.179605302027
SI 515	ANTHRCUL 553	0.179605302027
SI 515	ENGLISH 432	0.179605302027
SI 515	UP 696	0.179605302027
SI 515	ARTDES 609	0.179605302027
SI 515	ARTDES 605	0.179605302027
SI 515	MO 617	0.179605302027
SI 515	ARTDES 551	0.179605302027
SI 515	LHC 506	0.179605302027
SI 515	ARTDES 456	0.179605302027
SI 515	MO 622	0.179605302027
SI 515	MSP 609	0.179605302027
SI 515	SI 621	0.166282198642
SI 515	SI 624	0.149671085022
SI 515	SI 615	0.149671085022
SI 515	SI 553	0.149440644416
SI 515	SI 681	0.140677729686
SI 515	SI 575	0.13576884666
SI 515	SI 596	0.130682052561
SI 515	SI 539	0.128515092624
SI 515	BIT 750	0.127000127
SI 515	AMCULT 425	0.127000127
SI 515	ARTDES 611	0.127000127
SI 515	RACKHAM 570	0.127000127
SI 515	EDUC 500	0.127000127
SI 515	PHIL 423	0.127000127
SI 515	COMM 993	0.127000127
SI 515	HISTORY 796	0.127000127
SI 515	FIN 621	0.127000127
SI 515	BIT 678	0.127000127
SI 515	STRATEGY 669	0.127000127
SI 515	ENGLISH 434	0.127000127
SI 515	EDUC 525	0.127000127
SI 515	SI 586	0.127000127
SI 515	SI 540	0.119004525564
SI 515	SI 682	0.116885581186
SI 515	SI 620	0.107334697685
SI 515	SI 699	0.103695169473
SI 515	SI 631	0.103695169473
SI 515	MO 603	0.103695169473
SI 515	SI 654	0.100055601895
SI 515	SI 696	0.0996270962773
SI 515	SI 648	0.0996270962773
SI 515	SI 579	0.095157213614
SI 515	SI 792	0.0924061655451
SI 515	MO 512	0.0898026510134
SI 515	ARTDES 600	0.0898026510134
SI 515	SI 643	0.0864877500129
SI 515	SI 644	0.082408564343
SI 515	BIT 551	0.0803219328902
SI 515	COMM 810	0.0803219328902
SI 515	SWC 993	0.0803219328902
SI 515	SI 641	0.0803219328902
SI 515	ARCH 531	0.0765839581067
SI 515	SI 791	0.0749005886273
SI 515	SI 519	0.0740120567237
SI 515	SI 622	0.0718421208107
SI 515	SI 557	0.0718421208107
SI 515	SI 626	0.0704469953676
SI 515	MO 700	0.0678844233302
SI 515	SI 702	0.0678844233302
SI 515	SI 541	0.0678844233302
SI 515	SI 658	0.0668318879031
SI 515	SI 623	0.0667037345965
SI 515	SI 688	0.0663236532428
SI 515	SI 593	0.0635000635001
SI 515	SI 645	0.0635000635001
SI 515	SI 649	0.0635000635001
SI 515	SI 678	0.0598684340089
SI 515	SI 605	0.0541530361074
SI 515	SI 543	0.0541530361074
SI 515	NRE 531	0.0518475847365
SI 515	SI 572	0.0449013255067
SI 515	SI 676	0.0449013255067
SI 515	SI 616	0.0449013255067
SI 515	SI 684	0.0435606841869
SI 515	SI 505	0.0412042821715
SI 515	MHS 663	0.0339422116651
SI 515	SI 551	0.0327912917892
SI 515	SI 646	0.0327912917892
SI 515	SI 625	0.0295269297679
SI 515	SI 689	0.0261981258531
SI 519	SI 681	0.3335262011
SI 519	SI 579	0.327489320763
SI 519	SI 626	0.323263475064
SI 519	SI 615	0.320507982547
SI 519	SI 690	0.296580209762
SI 519	SI 625	0.293565188915
SI 519	SI 647	0.27708832354
SI 519	SI 621	0.27553753721
SI 519	PUBPOL 585	0.274721127897
SI 519	SI 665	0.273306245729
SI 519	SI 580	0.266678761216
SI 519	SI 648	0.266678761216
SI 519	SI 533	0.252101396665
SI 519	SI 646	0.250784931288
SI 519	SI 575	0.242281261437
SI 519	PUBPOL 534	0.237915475715
SI 519	SI 540	0.22753405049
SI 519	SI 532	0.226633367883
SI 519	SI 668	0.220266929464
SI 519	SI 617	0.217186121382
SI 519	SI 620	0.213430458574
SI 519	SI 692	0.213430458574
SI 519	SI 629	0.202189275543
SI 519	SI 581	0.201590194891
SI 519	SI 596	0.199888981396
SI 519	SI 539	0.196574437387
SI 519	SI 633	0.195467509243
SI 519	PUBPOL 715	0.194257172471
SI 519	BA 523	0.194257172471
SI 519	SI 510	0.194257172471
SI 519	SI 586	0.194257172471
SI 519	BIT 581	0.194257172471
SI 519	SI 614	0.194257172471
SI 519	SI 507	0.194257172471
SI 519	PUBPOL 754	0.18428853505
SI 519	SI 655	0.180363256677
SI 519	SI 622	0.178568733133
SI 519	SI 666	0.175712223797
SI 519	BIT 646	0.173748897105
SI 519	SI 605	0.165663073313
SI 519	NRE 540	0.158610317144
SI 519	NRE 531	0.158610317144
SI 519	SI 541	0.155752239495
SI 519	SI 632	0.154530634442
SI 519	SI 654	0.153043298248
SI 519	SI 544	0.150470958773
SI 519	SI 643	0.148826418042
SI 519	BIT 648	0.145692879354
SI 519	COMM 993	0.145692879354
SI 519	SI 645	0.145692879354
SI 519	SI 670	0.141865380426
SI 519	ASIANLAN 430	0.137360563949
SI 519	SI 572	0.137360563949
SI 519	SI 650	0.137360563949
SI 519	SI 719	0.137360563949
SI 519	SI 628	0.137360563949
SI 519	RUSSIAN 521	0.137360563949
SI 519	CSIB 676	0.137360563949
SI 519	PUBPOL 758	0.137360563949
SI 519	PUBPOL 759	0.137360563949
SI 519	ENGLISH 881	0.137360563949
SI 519	EECS 695	0.137360563949
SI 519	RACKHAM 571	0.137360563949
SI 519	EDUC 662	0.137360563949
SI 519	PUBPOL 587	0.137360563949
SI 519	PUBPOL 580	0.137360563949
SI 519	EECS 588	0.137360563949
SI 519	STATS 400	0.137360563949
SI 519	PUBPOL 578	0.137360563949
SI 519	FIN 551	0.137360563949
SI 519	SI 661	0.137360563949
SI 519	SAC 602	0.137360563949
SI 519	GEOG 406	0.137360563949
SI 519	ASIANLAN 429	0.137360563949
SI 519	IOE 552	0.137360563949
SI 519	SI 524	0.137360563949
SI 519	SLAVIC 490	0.137360563949
SI 519	CSIB 502	0.137360563949
SI 519	ENGLISH 501	0.137360563949
SI 519	MATH 423	0.137360563949
SI 519	PUBPOL 513	0.137360563949
SI 519	PUBPOL 686	0.137360563949
SI 519	SI 732	0.137360563949
SI 519	PUBPOL 671	0.137360563949
SI 519	PUBPOL 677	0.137360563949
SI 519	MKT 614	0.137360563949
SI 519	LHC 582	0.137360563949
SI 519	WOMENSTD 425	0.137360563949
SI 519	PUBPOL 735	0.137360563949
SI 519	NRE 441	0.137360563949
SI 519	DUTCH 511	0.137360563949
SI 519	ARCH 613	0.137360563949
SI 519	UP 696	0.137360563949
SI 519	ASIANLAN 499	0.137360563949
SI 519	MHS 665	0.137360563949
SI 519	CSIB 645	0.137360563949
SI 519	ECON 502	0.137360563949
SI 519	IOE 623	0.137360563949
SI 519	SI 652	0.133259320931
SI 519	SI 623	0.127536081873
