Disease outbreak counts in each country by disease type:
Country	Disease	Outbreak counts
Sri Lanka	Hemorrhagic Fever	1
Sudan	Malaria	6
Sudan	Leishmaniasis	4
Sudan	Hepatitis E	2
Sudan	Meningitis	2
Sudan	Poisoning	2
Sudan	Undiagnosed	2
Sudan	Yellow Fever	2
Sudan	Measles	1
Sudan	Pests	1
Sudan	Typhoid	1
Swaziland	Undiagnosed	3
Swaziland	Environmental	1
Sweden	Dengue	2
Sweden	Schmallenberg	1
Sweden	Undiagnosed	1
Switzerland	Schmallenberg	6
Switzerland	Hepatitis C	1
Switzerland	Influenza	1
Switzerland	Other Plant Disease	1
Switzerland	Rabies	1
Switzerland	Whooping Cough	1
Syria	Diarrhea	2
Syria	Brucellosis	1
Syria	Waterborne Illness	1
Tajikistan	Typhoid	1
Tanzania	Ebola	4
Tanzania	Cholera	1
Tanzania	Rabies	1
Tanzania	Undiagnosed	1
Tanzania	Waterborne Illness	1
Thailand	Dengue	10
Thailand	Rabies	5
Thailand	Undiagnosed	3
Thailand	Melioidosis	2
Thailand	Other Human Disease	2
Thailand	Avian Influenza	1
Thailand	HIV/AIDS	1
Thailand	Hand, Foot and Mouth Disease	1
Thailand	Influenza	1
Thailand	Leptospirosis	1
Thailand	Malaria	1
Thailand	Measles	1
Thailand	Poisoning	1
The Bahamas	Acinetobacter baumannii	1
Trinidad & Tobago	Dengue	2
Trinidad & Tobago	Hand, Foot and Mouth Disease	2
Trinidad & Tobago	Other Plant Disease	1
Tunisia	Peste des petits ruminants	6
Tunisia	West Nile Virus	6
Tunisia	Hepatitis	1
Turkey	Diarrhea	1
Turkey	Malaria	1
Uganda	Ebola	35
Uganda	Marburg Fever	10
Uganda	Not Yet Classified	7
Uganda	Yellow Fever	4
Uganda	Cholera	2
Uganda	Diarrhea	1
Uganda	Dysentery	1
Uganda	Fever	1
Uganda	Hepatitis B	1
Ukraine	Gastroenteritis	12
Ukraine	African Swine Fever	8
Ukraine	Dysentery	6
Ukraine	Salmonella	6
Ukraine	Influenza	5
Ukraine	Measles	5
Ukraine	Anthrax	4
Ukraine	Meningitis	3
Ukraine	Poisoning	3
Ukraine	Classical Swine Fever	2
Ukraine	Not Yet Classified	2
Ukraine	BSE	1
Ukraine	Undiagnosed	1
United Arab Emirates	Foodborne Illness	3
United Arab Emirates	Crimean-Congo Hemorrhagic Fever	2
United Arab Emirates	Poisoning	2
United Arab Emirates	Gastroenteritis	1
United Arab Emirates	Hand, Foot and Mouth Disease	1
United Arab Emirates	MRSA	1
United Arab Emirates	Plague	1
United Arab Emirates	Rabies	1
United Arab Emirates	Typhoid	1
United Kingdom	E. coli	24
United Kingdom	Whooping Cough	23
United Kingdom	Norovirus	19
United Kingdom	Other Animal Disease	16
United Kingdom	Measles	15
United Kingdom	Coronavirus	13
United Kingdom	Legionnaires'	11
United Kingdom	Schmallenberg	9
United Kingdom	Anthrax	8
United Kingdom	Salmonella	6
United Kingdom	Undiagnosed	6
United Kingdom	Animal Die-off	5
United Kingdom	SARS	5
United Kingdom	Algae	4
United Kingdom	Dengue	4
United Kingdom	Equine Infectious Anemia	4
United Kingdom	Gastroenteritis	4
United Kingdom	Mumps	4
United Kingdom	Other Plant Disease	4
United Kingdom	Respiratory Illness	4
United Kingdom	Bovine TB	3
United Kingdom	Cryptosporidium	3
United Kingdom	Meningitis	3
United Kingdom	Rubella	3
United Kingdom	Tuberculosis	3
United Kingdom	CJD	2
United Kingdom	Crimean-Congo Hemorrhagic Fever	2
United Kingdom	Hepatitis C	2
United Kingdom	Herpes	2
United Kingdom	Influenza	2
United Kingdom	Malaria	2
United Kingdom	Not Yet Classified	2
United Kingdom	Other Human Disease	2
United Kingdom	Viral Meningitis	2
United Kingdom	Antibiotic resistance	1
United Kingdom	Bacterial Meningitis	1
United Kingdom	C. difficile	1
United Kingdom	Cholera	1
United Kingdom	Food-related toxin	1
United Kingdom	Hantavirus	1
United Kingdom	P. aeruginosa	1
United Kingdom	Pneumonia	1
United Kingdom	Poisoning	1
United Kingdom	Shigellosis	1
United Kingdom	Strep	1
United Kingdom	Toxoplasmosis	1
United Kingdom	Typhoid	1
United Kingdom	Waterborne Illness	1
United States	Waterborne Illness	86
United States	West Nile Virus	80
United States	Whooping Cough	70
United States	Salmonella	69
United States	Rabies	57
United States	Epizootic Hemorrhagic Disease	50
United States	Eastern Equine Encephalitis	49
United States	Influenza	38
United States	Listeriosis	36
United States	Meningitis	36
United States	Swine Flu H3N2	36
United States	E. coli	34
United States	Environmental	33
United States	Not Yet Classified	32
United States	Hantavirus	27
United States	Dengue	25
United States	Algae	21
United States	Botulism	20
United States	Animal Die-off	19
United States	Syphilis	16
United States	Legionnaires'	13
United States	Pests	13
United States	Chicken Pox	12
United States	Tuberculosis	12
United States	Hand, Foot and Mouth Disease	11
United States	MRSA	11
United States	Plague	11
United States	Anthrax	10
United States	Chronic Wasting Disease	10
United States	Fungal Meningitis	10
United States	Norovirus	10
United States	Vesicular Stomatitis	10
United States	Canine distemper	9
United States	Hepatitis C	9
United States	Parvovirus	9
United States	Scabies	9
United States	Valley Fever	9
United States	HFM-CoxsackieA	8
United States	Gastroenteritis	7
United States	Measles	7
United States	Swine Flu H1N1	7
United States	Babesiosis	6
United States	Bacterial Meningitis	6
United States	Encephalitis	6
United States	Newcastle Disease	6
United States	Other Animal Disease	6
United States	Respiratory Illness	6
United States	Shigellosis	6
United States	Undiagnosed	6
United States	Cryptosporidium	5
United States	Gonorrhea	5
United States	Lyme Disease	5
United States	Other Plant Disease	5
United States	Strep	5
United States	Tick-borne disease	5
United States	Typhus	5
United States	Antibiotic resistance	4
United States	Aspergillosis	4
United States	Blastomycosis	4
United States	Conjunctivitis	4
United States	Fever	4
United States	Foot and Mouth	4
United States	Mycobacteria, non-TB	4
United States	Rash	4
United States	Campylobacter	3
United States	Canine Influenza	3
United States	Equine Herpes Virus	3
United States	Other Human Disease	3
United States	Paralytic Shellfish Poisoning	3
United States	Pneumonia	3
United States	Poisoning	3
United States	Staph	3
United States	Vibrio parahaemolyticus	3
United States	Viral Meningitis	3
United States	Arenavirus	2
United States	Diarrhea	2
United States	HIV/AIDS	2
United States	Histoplasmosis	2
United States	Meningitis - Neisseria	2
United States	Amoeba	1
United States	BSE	1
United States	Bluetongue	1
United States	Bronchitis/Bronchiolitis	1
United States	Brucellosis	1
United States	CJD	1
United States	Cholera	1
United States	Feline panleukopenia virus	1
United States	Food-related toxin	1
United States	Foodborne Illness	1
United States	Hepatitis	1
United States	Hepatitis A	1
United States	La Crosse Encephalitis	1
United States	Leptospirosis	1
United States	Lice	1
United States	Malaria	1
United States	Mumps	1
United States	Rotavirus	1
United States	Schmallenberg	1
United States	Sepsis	1
United States	Trypanosomiasis	1
United States	Typhoid	1
United States	Vibrio vulnificus	1
United States	Vibrio, noncholera	1
United States	White nose syndrome	1
Uruguay	Dengue	1
Uruguay	Influenza	1
Uruguay	Poisoning	1
Uruguay	Respiratory Illness	1
Uruguay	Syphilis	1
Uruguay	Whooping Cough	1
Uzbekistan	Not Yet Classified	1
Uzbekistan	Sheep/Goat Pox	1
Venezuela	Dengue	25
Venezuela	Meningitis	12
Venezuela	Cholera	2
Venezuela	Diarrhea	2
Venezuela	Other Human Disease	2
Venezuela	Undiagnosed	2
Venezuela	Anthrax	1
Venezuela	Fever	1
Venezuela	Hepatitis	1
Venezuela	Hepatitis E	1
Venezuela	Hospital-Related Infection	1
Venezuela	Leishmaniasis	1
Venezuela	Not Yet Classified	1
Venezuela	Respiratory Illness	1
Venezuela	Swine Flu H1N1	1
Vietnam	Avian Influenza	27
Vietnam	Dengue	11
Vietnam	Hand, Foot and Mouth Disease	5
Vietnam	Amoeba	4
Vietnam	Food-related toxin	3
Vietnam	Influenza	3
Vietnam	Blue Ear	2
Vietnam	Conjunctivitis	2
Vietnam	Gastroenteritis	2
Vietnam	HFM-Enterovirus71	2
Vietnam	Not Yet Classified	2
Vietnam	Rabies	2
Vietnam	Avian Cholera	1
Vietnam	Foodborne Illness	1
Vietnam	Pests	1
Vietnam	Poisoning	1
Vietnam	Respiratory Illness	1
Vietnam	Strep	1
Yemen	Dengue	6
Yemen	Chikungunya	1
Yemen	Foodborne Illness	1
Yemen	Mumps	1
Yemen	Undiagnosed	1
Zambia	Cholera	8
Zambia	Ebola	2
Zambia	Influenza	2
Zambia	Foot and Mouth	1
Zambia	Measles	1
Zambia	Undiagnosed	1
Zimbabwe	Anthrax	3
Zimbabwe	Typhoid	2
Zimbabwe	Diarrhea	1
Zimbabwe	Influenza	1
Zimbabwe	Trypanosomiasis	1
Zimbabwe	Waterborne Illness	1
